Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Out Length,Forward Energy,Backward Energy,Forward Time,Backward Time,Memory Power
8,64,3,28,FullyConnected,PB-CSR,0.6000000000000001,128,2.4228418779061377e-06, 5.1254684957778186e-06,0.001108217736192, 0.0028081765512960005,0.1408137563
8,64,3,28,FullyConnected,Crossbar,0.65,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.65,128,1.1561657825342339e-06, 3.867968301330826e-06,0.0009304309608960001, 0.002030825017656,0.0357138303
8,64,3,28,FullyConnected,PB-CSR,0.65,128,2.1374990275442816e-06, 4.544726385830362e-06,0.0012214778286080002, 0.0030106137323060002,0.1534852963
8,64,3,28,FullyConnected,Crossbar,0.7000000000000001,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.7000000000000001,128,1.320644503233114e-06, 4.225150552188426e-06,0.0009515077632000001, 0.0020560171185480002,0.0380090503
8,64,3,28,FullyConnected,PB-CSR,0.7000000000000001,128,2.3915391659824256e-06, 4.941803488234854e-06,0.001316792227328, 0.003155539982806,0.1688203463
8,64,3,28,FullyConnected,Crossbar,0.75,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.75,128,1.1500253167319937e-06, 3.815714404136026e-06,0.000980176050432, 0.002106351444736,0.040738380299999995
8,64,3,28,FullyConnected,PB-CSR,0.75,128,2.6583326356205693e-06, 5.353749606639206e-06,0.0014124247546880003, 0.003300931980806,0.18054516630000003
8,64,3,28,FullyConnected,Crossbar,0.8,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.8,128,1.2603596278487935e-06, 4.028471758032026e-06,0.001002347275008, 0.002132846413284,0.0429931503
8,64,3,28,FullyConnected,PB-CSR,0.8,128,2.94267630400841e-06, 5.78614785534855e-06,0.001510778544128, 0.0034633350565360004,0.1922701863
8,64,3,28,FullyConnected,Crossbar,0.8500000000000001,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.8500000000000001,128,1.3736062973476737e-06, 4.247373282529626e-06,0.0010240901009920002, 0.002159158330048,0.0452479203
